#E/eV	Hp(10,0)
1.00E-03	8.30E+00
2.15E-03	8.69E+00
4.64E-03	9.43E+00
1.00E-02	1.06E+01
2.15E-02	1.15E+01
4.64E-02	1.29E+01
1.00E-01	1.31E+01
2.15E-01	1.39E+01
4.64E-01	1.39E+01
1.00E+00	1.41E+01
2.15E+00	1.38E+01
4.64E+00	1.34E+01
1.00E+01	1.28E+01
2.15E+01	1.18E+01
4.64E+01	1.09E+01
1.00E+02	1.01E+01
2.15E+02	1.03E+01
4.64E+02	9.30E+00
1.00E+03	8.57E+00
2.15E+03	9.47E+00
4.64E+03	1.00E+01
1.00E+04	1.17E+01
1.25E+04	1.33E+01
1.58E+04	1.55E+01
1.99E+04	1.88E+01
2.51E+04	2.34E+01
3.16E+04	2.93E+01
3.98E+04	3.50E+01
5.01E+04	4.41E+01
6.30E+04	5.98E+01
7.94E+04	7.96E+01
1.00E+05	1.03E+02
1.25E+05	1.31E+02
1.58E+05	1.62E+02
1.99E+05	1.97E+02
2.51E+05	2.35E+02
3.16E+05	2.74E+02
3.98E+05	3.15E+02
5.01E+05	3.54E+02
6.30E+05	3.87E+02
7.94E+05	4.13E+02
1.00E+06	4.29E+02
1.25E+06	4.39E+02
1.58E+06	4.41E+02
1.99E+06	4.38E+02
2.51E+06	4.33E+02
3.16E+06	4.25E+02
3.98E+06	4.20E+02
5.01E+06	4.21E+02
6.30E+06	4.32E+02
7.94E+06	4.59E+02
1.00E+07	5.27E+02
1.58E+07	6.00E+02
2.51E+07	0.00E+00
3.98E+07	0.00E+00
6.30E+07	0.00E+00
1.00E+08	0.00E+00
1.58E+08	0.00E+00
2.51E+08	0.00E+00
3.98E+08	0.00E+00
6.30E+08	
