#E(MeV)	Phi(cm^-2)
0.001148	0.000000
0.001491	0.000000
0.001935	0.000000
0.002510	0.000000
0.003258	0.000000
0.004228	0.000000
0.005487	0.000000
0.007121	0.000000
0.009237	0.000000
0.011985	0.000000
0.015560	0.000000
0.020195	0.000000
0.026205	0.000000
0.034010	0.000000
0.044140	0.000000
0.057280	0.000000
0.074335	0.000000
0.096435	0.000000
0.125150	0.000000
0.162450	0.000000
0.210800	0.000000
0.273550	0.000000
0.355050	0.000000
0.460800	0.000000
0.597950	0.000000
0.776000	0.000000
1.007100	0.000000
1.306950	0.000000
1.696050	0.000000
2.201000	0.000000
2.856350	0.000000
3.706800	0.000000
4.810450	0.000000
6.242700	0.000000
8.101350	0.000000
10.513050	0.000000
13.643000	0.000000
17.705500	0.000000
#E(MeV)	Phi(cm^-2)
0.001148	0.000000
0.001491	0.000000
0.001935	0.000000
0.002510	0.000000
0.003258	0.000000
0.004228	0.000000
0.005487	0.000000
0.007121	0.000000
0.009237	0.000000
0.011985	0.000000
0.015560	0.000000
0.020195	0.000000
0.026205	0.000000
0.034010	0.000000
0.044140	0.000000
0.057280	0.000000
0.074335	0.000000
0.096435	0.000000
0.125150	0.000000
0.162450	0.000000
0.210800	0.000000
0.273550	0.000000
0.355050	0.000000
0.460800	0.000000
0.597950	0.000000
0.776000	0.000000
1.007100	0.000000
1.306950	0.000000
1.696050	0.000000
2.201000	0.000000
2.856350	0.000000
3.706800	0.000000
4.810450	0.000000
6.242700	0.000000
8.101350	0.000000
10.513050	0.000000
13.643000	0.000000
17.705500	0.000000
#E(MeV)	Phi(cm^-2)
0.001148	0.000000
0.001491	0.000000
0.001935	0.000000
0.002510	0.000000
0.003258	0.000000
0.004228	0.000000
0.005487	0.000000
0.007121	0.000000
0.009237	0.000000
0.011985	0.000000
0.015560	0.000000
0.020195	0.000000
0.026205	0.000000
0.034010	0.000000
0.044140	0.000000
0.057280	1.000000
0.074335	3.000000
0.096435	39.000000
0.125150	148.000000
0.162450	276.000000
0.210800	448.000000
0.273550	592.000000
0.355050	768.000000
0.460800	1100.000000
0.597950	0.000000
0.776000	0.000000
1.007100	0.000000
1.306950	0.000000
1.696050	0.000000
2.201000	0.000000
2.856350	0.000000
3.706800	0.000000
4.810450	0.000000
6.242700	0.000000
8.101350	0.000000
10.513050	0.000000
13.643000	0.000000
17.705500	0.000000
# Photon energy(MeV)	H*(10)/Φ(pSv cm2)
0.010000	0.061000
0.015000	0.830000
0.020000	1.050000
0.030000	0.810000
0.040000	0.640000
0.050000	0.550000
0.060000	0.510000
0.080000	0.530000
0.100000	0.610000
0.150000	0.890000
0.200000	1.200000
0.300000	1.800000
0.400000	2.380000
0.500000	2.930000
0.600000	3.440000
0.800000	4.380000
1.000000	5.200000
1.500000	6.900000
2.000000	8.600000
3.000000	11.100000
4.000000	13.400000
5.000000	15.500000
6.000000	17.600000
8.000000	21.600000
10.000000	25.600000
# Photon energy(MeV)	Hp(10,0°)/Φ(pGy cm2)
0.010000	0.068400
0.012500	0.484120
0.015000	0.847440
0.017500	1.050200
0.020000	1.057030
0.025000	0.997790
0.030000	0.821768
0.040000	0.652620
0.050000	0.579248
0.060000	0.552464
0.080000	0.586124
0.100000	0.673692
0.125000	0.800512
0.150000	0.964200
0.200000	1.277152
0.300000	1.889220
0.400000	2.457000
0.500000	2.989280
0.600000	3.481840
0.800000	4.391100
1.000000	5.216490
1.500000	6.970680
3.000000	11.047130
6.000000	17.522200
10.000000	25.775200
# Photon energy(MeV)	Hp(10,0°)/Φ(pGy cm2)
0.001000	577.000000
0.001500	285.000000
0.002000	169.000000
0.003000	77.600000
0.003200	68.200000
0.003200	74.900000
0.004000	48.900000
0.005000	31.500000
0.006000	21.800000
0.008000	12.100000
0.010000	7.600000
0.015000	3.210000
0.020000	1.730000
0.030000	0.739000
0.040000	0.438000
0.050000	0.328000
0.060000	0.292000
0.080000	0.308000
0.100000	0.372000
0.150000	0.600000
0.200000	0.856000
0.300000	1.380000
0.400000	1.890000
0.500000	2.380000
0.600000	2.840000
0.800000	3.690000
1.000000	4.470000
1.250000	5.340000
1.500000	6.120000
2.000000	7.510000
3.000000	9.890000
4.000000	12.000000
5.000000	13.900000
6.000000	15.800000
8.000000	19.500000
10.000000	23.200000
15.000000	32.500000
20.000000	42.000000
gamma 周围剂量当量H*(10)：6610.056267(pSv/s)	统计误差：0.017213
gamma 个人剂量当量Hp(10,0)：6860.642640(pSv/s)	统计误差：0.017213
gamma 照射量X(空气吸收剂量Gy/s)：5144.518738(pGy/s)	统计误差：0.017213
