# Photon energy  (MeV)	空气吸收剂量/Φ(pGy cm2)
1.00E-03	5.77E+02
1.50E-03	2.85E+02
2.00E-03	1.69E+02
3.00E-03	7.76E+01
3.20E-03	6.82E+01
3.20E-03	7.49E+01
4.00E-03	4.89E+01
5.00E-03	3.15E+01
6.00E-03	2.18E+01
8.00E-03	1.21E+01
1.00E-02	7.60E+00
1.50E-02	3.21E+00
2.00E-02	1.73E+00
3.00E-02	7.39E-01
4.00E-02	4.38E-01
5.00E-02	3.28E-01
6.00E-02	2.92E-01
8.00E-02	3.08E-01
1.00E-01	3.72E-01
1.50E-01	6.00E-01
2.00E-01	8.56E-01
3.00E-01	1.38E+00
4.00E-01	1.89E+00
5.00E-01	2.38E+00
6.00E-01	2.84E+00
8.00E-01	3.69E+00
1.00E+00	4.47E+00
1.25E+00	5.34E+00
1.50E+00	6.12E+00
2.00E+00	7.51E+00
3.00E+00	9.89E+00
4.00E+00	1.20E+01
5.00E+00	1.39E+01
6.00E+00	1.58E+01
8.00E+00	1.95E+01
1.00E+01	2.32E+01
1.50E+01	3.25E+01
2.00E+01	4.20E+01
