# Neutron Energy(eV)	 H*(10)/Φ(pSv cm2)
1.00E-03	6.75E+00
2.15E-03	7.29E+00
4.64E-03	8.29E+00
1.00E-02	9.78E+00
2.15E-02	1.06E+01
4.64E-02	1.27E+01
1.00E-01	1.34E+01
2.15E-01	1.26E+01
4.64E-01	1.31E+01
1.00E+00	1.29E+01
2.15E+00	1.26E+01
4.64E+00	1.16E+01
1.00E+01	1.10E+01
2.15E+01	1.04E+01
4.64E+01	9.93E+00
1.00E+02	9.26E+00
2.15E+02	8.77E+00
4.64E+02	8.25E+00
1.00E+03	7.85E+00
2.15E+03	7.98E+00
4.64E+03	8.69E+00
1.00E+04	1.13E+01
1.25E+04	1.28E+01
1.58E+04	1.51E+01
1.99E+04	1.82E+01
2.51E+04	2.23E+01
3.16E+04	2.80E+01
3.98E+04	3.61E+01
5.01E+04	4.69E+01
6.30E+04	6.07E+01
7.94E+04	7.81E+01
1.00E+05	9.91E+01
1.25E+05	1.24E+02
1.58E+05	1.54E+02
1.99E+05	1.86E+02
2.51E+05	2.22E+02
3.16E+05	2.61E+02
3.98E+05	3.02E+02
5.01E+05	3.42E+02
6.30E+05	3.76E+02
7.94E+05	3.98E+02
1.00E+06	4.27E+02
1.25E+06	4.14E+02
1.58E+06	3.97E+02
1.99E+06	4.13E+02
2.51E+06	4.13E+02
3.16E+06	4.09E+02
3.98E+06	4.06E+02
5.01E+06	4.01E+02
6.30E+06	4.05E+02
7.94E+06	4.18E+02
1.00E+07	4.91E+02
1.58E+07	5.96E+02
2.51E+07	4.00E+02
3.98E+07	3.99E+02
6.30E+07	3.20E+02
1.00E+08	2.59E+02
1.58E+08	2.59E+02
2.51E+08	0.00E+00
3.98E+08	0.00E+00
6.30E+08	
